Sample	Population	Latitude	Longitude	Age (BP)	Inversion	Datatype	Genome-Wide Std Dev	H1 Avg CN	H2 Avg CN	H1D	H2D
RISE500	Yamnaya	53.46	85.45	3550	H1H1	fastq_samples	0.2094	2.7901	2.7097	1	0
VK179	Yamnaya	61.18	-45.68	800	H1H2	fastq_samples	0.2821	1.9835	3.0049	0	1
RISE109	Yamnaya	50.98	17.07	3813	H1H1	fastq_samples	1.2167	3.6428	3.2058	-2	-2
NEO262	Admixed	47.45	35.24	6518	H1H1	fastq_samples	0.9654	2.5896	2.3176	-2	-2
VK14	Yamnaya	60	32.3	800	H2H2	fastq_samples	0.6761	2.1219	4.4237	-2	-2
VK20	Yamnaya	60	32.3	888	H1H1	fastq_samples	0.4067	4.2961	4.0228	2	0
NEO524	Admixed	48.13	35.08	6975	H1H1	fastq_samples	0.7087	2.2273	2.2178	-2	-2
NEO599	Early Farmer	55.55	11.68	5134	H1H2	fastq_samples	0.5188	2.3024	3.0797	-2	-2
NEO655	Early Farmer	44.54	22.04	8668	H1H1	fastq_samples	0.5885	2.7021	2.5715	-2	-2
RISE566	Yamnaya	50.12	14.26	4106	H2H2	fastq_samples	0.8194	2.3935	4.3261	-2	-2
NEO957	Admixed	55.59	11.58	6133	H1H1	fastq_samples	0.2094	2.0209	2.1793	0	0
NEO220	Yamnaya	58.17	13.57	3989	H1H1	fastq_samples	0.4037	2.0578	2.0465	0	0
VK256	Yamnaya	50.67	-2.47	953	H1H1	fastq_samples	0.2159	3.1388	2.987	1	0
VK19	Yamnaya	60	32.3	800	H1H1	fastq_samples	0.3116	3.9889	3.8694	2	0
RISE499	Yamnaya	51.91	88.57	3100	H1H1	fastq_samples	0.2133	3.7424	3.5391	-1	-1
VK446	Yamnaya	55.5	10.33	900	H1H1	fastq_samples	0.2278	2.8333	2.9823	1	0
VK349	Yamnaya	56.46	16.43	1121	H1H1	fastq_samples	0.2293	2.9145	3.0578	1	0
NEO172	Admixed	52.28	38.96	6773	NA	fastq_samples	1.3239	1.9763	2.5836	-2	-2
NEO745	Hunter-Gatherer (W)	55.85	12.56	6790	H1H1	fastq_samples	0.3316	2.2471	2.3273	0	0
VK21	Yamnaya	60	32.3	800	H1H1	fastq_samples	0.5657	2.2851	2.3725	-2	-2
VK498	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.2328	2.0435	2.209	0	0
NEO182	Admixed	56.78	40.45	5385	H1H1	fastq_samples	1.073	2.8969	2.4196	-2	-2
RISE480	Early Farmer	47.34	18.9	3550	H1H1	fastq_samples	0.7777	1.8942	2.3343	-2	-2
VK22	Yamnaya	60	32.3	800	H1H1	fastq_samples	0.6742	2.4632	2.4407	-2	-2
VK15	Yamnaya	60	32.3	800	H1H1	fastq_samples	0.2672	2.9949	3.0072	1	0
VK320	Yamnaya	54.87	10.72	900	H2H2	fastq_samples	0.25	2.0404	3.9884	0	2
VK384	Yamnaya	55.95	10.2	1075	H1H1	fastq_samples	0.2808	3.1268	3.01	1	0
VK408	Yamnaya	60	32.3	800	H1H1	fastq_samples	0.5745	3.0911	3.3423	-2	-2
NEO600	Admixed	55.85	12.56	7817	H1H1	fastq_samples	0.9221	2.0144	2.3626	-2	-2
VK265	Yamnaya	57.18	13.93	900	H1H1	fastq_samples	0.257	2.191	2.0915	0	0
NEO943	Early Farmer	55.46	9.69	4614	H1H1	fastq_samples	0.2451	2.3037	2.3239	0	0
VK342	Yamnaya	56.44	16.57	900	H1H2	fastq_samples	0.2242	2.0755	3.0637	0	1
VK177	Yamnaya	51.76	-1.26	1010	H1H1	fastq_samples	0.2627	2.9908	3.2188	1	0
VK151	Yamnaya	51.76	-1.26	1010	H1H1	fastq_samples	0.2421	4.1278	4.0135	2	0
NEO694	Hunter-Gatherer (W)	38.73	-0.46	9217	H1H1	fastq_samples	0.5707	2.1381	2.24	-2	-2
NEO748	Admixed	55.85	12.56	7129	H1H1	fastq_samples	1.1741	2.8831	3.3672	-2	-2
VK183	Yamnaya	61.18	-45.68	800	H1H2	fastq_samples	0.3972	2.1211	3.2345	0	1
RISE577	Yamnaya	50.17	14.32	4000	H1H2	fastq_samples	0.2217	2.0478	2.7695	0	1
RISE431	Admixed	52.14	16.54	4117	H1H1	fastq_samples	0.877	2.8113	3.0974	-2	-2
VK308	Yamnaya	58.38	13.65	800	H1H2	fastq_samples	0.2374	2.0238	2.9359	0	1
VK552	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.2228	2.0935	2.1593	0	0
VK87	Yamnaya	55.95	10.2	1075	H1H1	fastq_samples	0.2019	3.1683	3.0186	1	0
RISE546	Yamnaya	46.54	43.7	4850	H1H2	fastq_samples	1.2316	2.0852	4.2119	-2	-2
NEO695	Early Farmer	43.08	13.06	7299	H2H2	fastq_samples	0.5731	2.0608	4.446	-2	-2
NEO148	Admixed	46.37	20.42	6610	H1H1	fastq_samples	1.1345	3.0471	3.5272	-2	-2
NEO960	Hunter-Gatherer (W)	55.58	11.58	5926	H1H1	fastq_samples	0.7238	3.1176	2.6726	-2	-2
NEO52	Yamnaya	55.5	13.01	3765	H1H2	fastq_samples	0.8863	2.6959	3.5389	-2	-2
VK523	Yamnaya	63.83	9.7	1800	H1H1	fastq_samples	0.2591	2.0515	2.1865	0	0
NEO72	Asia	56.02	69.31	8369	H1H1	fastq_samples	0.3955	1.8758	2.102	0	0
RISE515	Asia	53.16	90.21	4192.5	H1H1	fastq_samples	1.1916	2.1696	2.7125	-2	-2
VK511	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.2025	3.1086	3.083	1	0
VK213	Yamnaya	55.73	12.12	1491	H1H1	fastq_samples	0.8166	2.2023	2.379	-2	-2
VK159	Yamnaya	57.81	28.34	850	H1H1	fastq_samples	0.5118	2.0885	2.011	-2	-2
NEO497	Admixed	48.2	35.22	10655	H1H1	fastq_samples	0.7936	2.042	2.5557	-2	-2
VK519	Yamnaya	67.93	14.96	1100	H1H1	fastq_samples	0.5505	2.2869	2.16	-2	-2
RISE247	Early Farmer	47.33	18.96	3628.5	H1H1	fastq_samples	1.1233	4.6585	3.8996	-2	-2
NEO702	Admixed	55.83	12.17	5263	H1H2	fastq_samples	1.0146	3.0579	4.1497	-2	-2
VK354	Yamnaya	56.44	16.57	964	H2H2	fastq_samples	0.3532	2.0531	3.9944	0	2
VK273	Yamnaya	54.78	31.87	850	H1H1	fastq_samples	0.2499	2.975	2.9581	1	0
VK337	Yamnaya	56.48	16.58	1092	H1H1	fastq_samples	0.2305	3.0482	3.0537	1	0
VK282	Yamnaya	54.96	10.83	900	H1H1	fastq_samples	0.4312	2.2122	2.1225	0	0
NEO178	Hunter-Gatherer (E)	56.78	40.45	5322	H1H2	fastq_samples	0.5237	2.1091	3.0226	-2	-2
RISE504	Asia	53.46	85.45	1145	H1H1	fastq_samples	0.2134	2.0697	1.9768	0	0
VK275	Yamnaya	54.85	10.78	900	H1H2	fastq_samples	0.4471	2.6438	3.2816	-1	-1
VK204	Yamnaya	58.93	-2.75	900	H1H1	fastq_samples	0.2841	4.3681	3.7941	2	0
NEO878	Yamnaya	55.7	11.86	4026	H1H2	fastq_samples	0.4491	1.9213	2.8543	0	1
NEO876	Admixed	55.9	9.99	4338	NA	fastq_samples	1.4293	2.3252	3.4201	-2	-2
NEO563	Yamnaya	55.76	11.8	3350	H1H2	fastq_samples	0.3637	2.7884	4.065	1	1
VK449	Yamnaya	50.67	-2.47	953	H1H1	fastq_samples	0.2252	2.0755	2.0628	0	0
VK510	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.2316	2.0485	2.0815	0	0
NEO64	Asia	52.72	84.68	6050	H1H1	fastq_samples	0.4082	2.0396	2.094	0	0
RISE554	Admixed	56.02	92.87	2874.5	H1H2	fastq_samples	0.7569	2.1434	3.1907	-2	-2
VK497	Admixed	58.17	22.25	1100	H1H1	fastq_samples	0.214	2.1968	2.095	0	0
VK403	Yamnaya	58.38	13.65	800	H1H2	fastq_samples	0.2221	3.1131	3.9665	1	1
VK48	Yamnaya	57.63	18.28	975	H1H1	fastq_samples	0.42	2.2114	1.9885	0	0
VK332	Yamnaya	56.42	16.43	1092	H1H1	fastq_samples	0.2097	2.0237	2.0874	0	0
NEO171	Hunter-Gatherer (E)	53	40.4	5835	H1H1	fastq_samples	0.3523	1.9836	2.0738	0	0
VK352	Yamnaya	56.72	16.71	900	H1H1	fastq_samples	0.2388	3.0064	3.0793	1	0
VK553	Yamnaya	58.17	22.25	1100	H1H2	fastq_samples	0.219	2.922	3.8827	1	1
VK389	Yamnaya	59.22	9.61	900	H1H1	fastq_samples	0.2484	2.1931	2.0859	0	0
VK245	Admixed	61.85	-6.8	250	H1H1	fastq_samples	0.2695	2.9654	2.8572	1	0
NEO145	Early Farmer	46.37	20.42	6744	H1H1	fastq_samples	0.6425	2.1173	2.1577	-2	-2
NEO594	Admixed	55.39	10.08	5174	NA	fastq_samples	1.2786	3.23	3.619	-2	-2
NEO305	Admixed	48.31	35.14	6605	H1H1	fastq_samples	0.2019	2.2262	2.1425	0	0
NEO33	Admixed	57.39	9.76	5128	NA	fastq_samples	1.7139	2.7503	3.704	-2	-2
NEO76	Admixed	56.93	66.47	4068	NA	fastq_samples	0.7841	2.1753	2.3331	-2	-2
NEO221	Admixed	58.17	13.57	3702	NA	fastq_samples	1.3746	1.7066	2.4582	-2	-2
VK278	Yamnaya	55.5	10.33	900	H1H2	fastq_samples	0.3218	1.9994	2.5967	-1	-1
NEO648	Hunter-Gatherer (W)	43.4	-4.71	7539	H1H1	fastq_samples	0.2072	2.1222	2.0926	0	0
NEO539	Hunter-Gatherer (E)	59.7	39.5	10060	H1H1	fastq_samples	0.5434	2.0027	2.2512	-2	-2
VK518	Asia	67.69	12.7	1000	H1H1	fastq_samples	0.3779	2.0318	2.1503	0	0
VK186	Yamnaya	60.99	-45.42	903	H1H1	fastq_samples	0.3508	5.2189	5.0276	3	0
VK442	Yamnaya	56.42	16.43	1102	H1H2	fastq_samples	0.2322	2.1312	2.9982	0	1
NEO189	Hunter-Gatherer (E)	56.78	40.45	5648	H1H1	fastq_samples	0.3357	2.4217	2.007	0	0
NEO552	Hunter-Gatherer (E)	48.13	35.08	6898	H1H1	fastq_samples	0.5862	2.9788	2.4354	-2	-2
NEO823	Early Farmer	40.88	16.73	4665	H1H1	fastq_samples	0.417	2.8589	3.1264	1	0
NEO88	Hunter-Gatherer (E)	56.67	38.02	7871	H1H1	fastq_samples	0.1892	2.0129	2.0406	0	0
NEO117	Asia	49.9	108	7681	H1H1	fastq_samples	0.7532	2.6718	2.0897	-2	-2
NEO527	Admixed	48.31	35.14	10928	H1H1	fastq_samples	0.96	2.0126	2.7785	-2	-2
NEO158	Admixed	56.78	40.45	5776	H1H1	fastq_samples	0.7177	2.2303	2.4693	-2	-2
NEO603	Admixed	38.68	-9.16	4347	NA	fastq_samples	1.0098	2.0808	2.7682	-2	-2
NEO228	Yamnaya	58.17	13.57	3843	H1H2	fastq_samples	0.6529	1.7978	3.0919	-2	-2
RISE47	Admixed	56.97	9.55	3361.5	H1H2	fastq_samples	1.6273	4.6679	5.5396	-2	-2
NEO168	Admixed	53	40.4	5454	NA	fastq_samples	1.3567	3.4686	2.7892	-2	-2
NEO904	Asia	51.65	74.65	3708	H1H1	fastq_samples	0.7795	2.0314	2.5363	-2	-2
VK529	Yamnaya	67.64	14.79	1050	H1H1	fastq_samples	0.227	2.0672	2.041	0	0
NEO310	Early Farmer	36.85	60.42	7150	H1H1	fastq_samples	0.2942	1.9396	2.2182	0	0
VK218	Yamnaya	60	32.3	800	H2H2	fastq_samples	0.3808	1.942	4.1116	0	2
