Sample	Population	Latitude	Longitude	Age (BP)	Inversion	Datatype	Genome-Wide Std Dev	H1 Avg CN	H2 Avg CN	H1D	H2D
VK417	Yamnaya	60.36	10.57	1000	H1H2	fastq_samples	0.244	2.0163	2.9541	0	1
NEO503	Hunter-Gatherer (E)	48.13	35.08	6708	H1H1	fastq_samples	0.4485	2.273	2.3566	0	0
RISE374	Early Farmer	46.22	20.2	3692.5	H1H1	fastq_samples	0.7671	2.3783	2.7601	-2	-2
NEO941	Hunter-Gatherer (W)	56.71	10.17	6372	H1H1	fastq_samples	0.6154	2.2783	2.1378	-2	-2
NEO551	Admixed	48.13	35.08	7290	H1H1	fastq_samples	1.0431	3.1253	3.0455	-2	-2
VK432	Yamnaya	57.34	18.19	975	H1H1	fastq_samples	0.4943	2.2113	2.1426	-2	-2
NEO640	Early Farmer	50.27	20.45	4902	H1H1	fastq_samples	0.6477	2.4296	2.4584	-2	-2
NEO806	Early Farmer	40.96	17.29	3015	H1H2	fastq_samples	0.2688	2.0488	3.0378	0	1
VK493	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.195	2.1307	2.0696	0	0
VK357	Yamnaya	56.42	16.43	897	H1H1	fastq_samples	0.2245	2.0606	2.2175	0	0
RISE486	Admixed	45.26	10.38	3903.5	H1H1	fastq_samples	0.6479	2.2965	2.1817	-2	-2
VK508	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.2005	2.9809	2.9353	1	0
NEO561	Admixed	60.41	38.93	8193	H1H1	fastq_samples	0.4876	2.6157	2.8581	-1	-1
VK386	Yamnaya	62.09	9.05	900	H1H1	fastq_samples	0.2543	2.0784	2.0673	0	0
VK474	Yamnaya	57.63	18.28	975	H1H2	fastq_samples	0.2114	2.0884	2.9634	0	1
VK212	Yamnaya	52.88	14.2	889	H1H1	fastq_samples	0.4277	3.1227	3.1657	1	0
VK175	Yamnaya	51.76	-1.26	1010	H1H1	fastq_samples	0.3526	2.1373	2.2912	0	0
NEO907	Asia	55.71	76.78	5643	H1H1	fastq_samples	0.4253	2.3638	2.48	0	0
NEO5	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NA	fastq_samples	1.4024	1.8505	2.7537	-2	-2
VK201	Yamnaya	59.13	-3.32	900	H1H2	fastq_samples	0.2666	1.9808	3.1037	0	1
NEO200	Asia	52.2	107	7022	H1H1	fastq_samples	0.3419	2.0169	2.0927	0	0
VK306	Yamnaya	58.38	13.65	800	H1H1	fastq_samples	0.2782	2.2264	2.1576	0	0
VK301	Yamnaya	55.43	10.61	1185	H1H1	fastq_samples	0.3321	1.9976	2.1249	0	0
VK333	Yamnaya	56.58	16.46	1065	H1H1	fastq_samples	0.2354	2.9997	3.0267	1	0
VK288	Yamnaya	54.87	10.72	900	H1H2	fastq_samples	0.3169	1.9083	3.0369	0	1
VK24	Yamnaya	61.6	-6.96	800	H2H2	fastq_samples	0.5969	2.0987	4.0508	-2	-2
NEO29	Early Farmer	55.13	10.9	5489	H2H2	fastq_samples	0.3778	1.921	3.8667	0	2
VK555	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.2304	2.0469	2.1388	0	0
NEO292	Asia	56.2	95.7	6036	H1H1	fastq_samples	0.2742	2.1005	2.1109	0	0
NEO304	Hunter-Gatherer (E)	47.95	35.39	7011	H1H1	fastq_samples	0.2471	2.1428	2.1587	0	0
NEO57	Asia	52.17	64.53	4497	H1H1	fastq_samples	0.5629	2.1093	2.3872	-2	-2
VK110	Admixed	65.61	-17.16	750	H1H1	fastq_samples	0.2192	1.9945	1.9895	0	0
NEO537	Admixed	59.7	39.5	8055	H1H1	fastq_samples	0.7084	1.6826	2.27	-2	-2
NEO646	Hunter-Gatherer (W)	43.4	-4.71	8273	H1H1	fastq_samples	1.1018	2.528	2.5889	-2	-2
NEO857	Admixed	55.76	12.01	3637	NA	fastq_samples	2.8864	6.1416	6.4672	-2	-2
VK31	Yamnaya	58.38	13.65	800	H1H1	fastq_samples	0.436	2.4666	2.3872	0	0
VK317	Yamnaya	54.85	10.78	900	H1H1	fastq_samples	0.2745	2.1694	2.146	0	0
VK165	Yamnaya	51.76	-1.26	1010	H1H1	fastq_samples	0.2489	2.0545	2.139	0	0
NEO17	Hunter-Gatherer (E)	58.06	7.74	9146	H1H1	fastq_samples	0.3159	1.9845	2.1088	0	0
NEO518	Yamnaya	48.4	35.16	2156	H1H2	fastq_samples	0.4849	1.8788	3.1018	0	1
VK366	Yamnaya	54.87	10.72	900	H1H1	fastq_samples	0.3612	3.1186	2.9679	1	0
VK524	Yamnaya	66.26	12.73	900	H1H1	fastq_samples	0.231	4.1838	4.0074	2	0
VK496	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.1962	2.0662	2.0947	0	0
NEO677	Admixed	44.54	22.04	8668	H1H1	fastq_samples	0.5323	2.4063	2.3852	-2	-2
NEO51	Yamnaya	55.56	13.02	4361	H1H1	fastq_samples	0.3185	2.1251	2.2029	0	0
VK232	Yamnaya	57.63	18.28	975	H1H1	fastq_samples	0.5752	3.0952	3.2042	-2	-2
VK111	Admixed	65.61	-17.16	750	H1H2	fastq_samples	0.2606	2.0743	2.8499	0	1
VK485	Admixed	58.17	22.25	1100	H1H1	fastq_samples	0.3666	2.0595	2.0642	0	0
NEO961	Admixed	55.37	12.29	5137	NA	fastq_samples	8.0563	6.5846	9.0192	-2	-2
NEO63	Admixed	52.72	84.68	7062	NA	fastq_samples	1.0333	2.2853	2.4979	-2	-2
VK422	Yamnaya	61.15	11.34	900	H1H2	fastq_samples	0.249	2.0493	2.998	0	1
NEO65	Asia	52.72	84.68	4793	H1H1	fastq_samples	0.228	1.9395	2.0147	0	0
NEO945	Early Farmer	56.49	9.83	5445	H1H1	fastq_samples	0.3007	2.266	2.3722	0	0
RISE600	Asia	50.21	85.73	2450	H1H1	fastq_samples	0.4231	1.9917	2.3	0	0
NEO545	Admixed	48.2	35.22	10836	H1H1	fastq_samples	2.9537	2.689	4.0621	-2	-2
NEO93	Yamnaya	55.41	12.29	3735	H1H1	fastq_samples	0.204	2.0939	1.9582	0	0
NEO645	Hunter-Gatherer (W)	55.91	11.09	5870	H1H1	fastq_samples	0.6387	2.6818	1.9485	-2	-2
RISE586	Yamnaya	48.8	17.02	4000	H2H2	fastq_samples	0.5378	2.2479	3.7095	-2	-2
VK488	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.2489	2.0599	2.06	0	0
NEO590	Yamnaya	55.34	11.16	3290	H1H1	fastq_samples	0.3041	2.9134	2.9872	1	0
VK551	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.1793	3.9891	4.0135	2	0
NEO162	Admixed	53	40.4	6682	H1H1	fastq_samples	0.7366	2.6109	2.3361	-2	-2
VK538	Yamnaya	41.34	15.26	700	H1H1	fastq_samples	0.2338	2.2152	2.16	0	0
VK254	Yamnaya	54.78	31.87	850	H1H1	fastq_samples	0.3959	2.0462	2.1648	0	0
VK34	Yamnaya	58.38	13.65	800	H1H2	fastq_samples	0.2348	3.1075	4.0658	1	1
NEO224	Yamnaya	58.17	13.57	3945	H1H2	fastq_samples	0.756	2.2454	3.3731	-2	-2
VK276	Yamnaya	54.85	10.78	900	H2H2	fastq_samples	1.0408	2.1448	5.7086	-2	-2
VK453	Yamnaya	57.63	18.28	975	H1H1	fastq_samples	0.5672	2.9926	3.0928	-2	-2
NEO753	Early Farmer	55.77	12.21	5531	H1H2	fastq_samples	0.6119	1.7891	2.9629	-2	-2
VK471	Yamnaya	57.63	18.28	975	H1H1	fastq_samples	0.5317	3.1588	3.0944	-2	-2
VK458	Yamnaya	57.34	18.19	975	H1H1	fastq_samples	0.5508	3.1113	3.2719	-2	-2
NEO226	Admixed	58.17	13.57	3757	H1H1	fastq_samples	0.4355	2.4019	2.5194	-1	-1
VK230	Yamnaya	65.61	-17.16	750	H1H2	fastq_samples	0.192	2.1438	3.0436	0	1
NEO167	Hunter-Gatherer (E)	53	40.4	5657	H1H1	fastq_samples	0.412	2.1812	2.1067	0	0
VK532	Yamnaya	55.66	12.25	950	H1H2	fastq_samples	0.1629	1.9753	2.9281	0	1
NEO514	Admixed	48.13	35.08	6639	NA	fastq_samples	1.2593	2.7878	3.0006	-2	-2
VK394	Yamnaya	61.15	11.34	900	H1H1	fastq_samples	0.2772	2.8645	3.0503	1	0
VK315	Yamnaya	55.56	11.25	1075	H1H2	fastq_samples	0.3738	2.2504	3.225	0	1
VK399	Yamnaya	58.38	13.65	800	H1H2	fastq_samples	0.2056	2.2484	3.0121	0	1
NEO7	Admixed	55.76	12.26	5242	NA	fastq_samples	1.605	2.0729	2.5137	-2	-2
VK17	Yamnaya	60	32.3	800	H1H2	fastq_samples	0.3775	2.0738	3.1314	0	1
NEO860	Yamnaya	55.58	12.28	3697	H1H1	fastq_samples	0.6571	2.2121	2.3827	-2	-2
NEO187	Hunter-Gatherer (E)	56.78	40.45	4940	H1H2	fastq_samples	0.6777	2.505	3.2815	-2	-2
NEO529	Admixed	48.13	35.08	6745	H1H1	fastq_samples	0.7273	1.9781	2.5093	-2	-2
NEO679	Hunter-Gatherer (W)	55.39	13.48	6834	H1H1	fastq_samples	0.5449	2.1074	2.1572	-2	-2
NEO564	Admixed	55.88	9.81	5468	H1H2	fastq_samples	0.7767	2.3481	3.2003	-2	-2
NEO901	Asia	52.43	76.84	1171	H1H2	fastq_samples	0.6215	2.0585	2.2652	-2	-2
NEO1	Admixed	56.25	10.76	6585	NA	fastq_samples	1.3969	1.649	1.5704	-2	-2
NEO83	Asia	55.73	74.29	5666	H1H1	fastq_samples	0.237	2.0337	1.9742	0	0
NEO270	Hunter-Gatherer (E)	47.43	34.27	7297	H1H1	fastq_samples	0.6501	1.8575	2.3332	-2	-2
VK18	Yamnaya	60	32.3	800	H1H1	fastq_samples	0.3119	2.2554	2.1314	0	0
VK274	Yamnaya	54.85	10.78	900	H1H1	fastq_samples	0.2501	2.8569	3.0034	1	0
RISE563	Yamnaya	48.69	13.02	4492	H1H1	fastq_samples	0.4229	1.9455	1.9685	0	0
NEO916	Admixed	55.71	76.78	5733	NA	fastq_samples	1.9587	2.6089	1.4975	-2	-2
VK127	Yamnaya	65.71	-23.75	900	H1H2	fastq_samples	0.3334	3.3865	4.0281	1	1
VK313	Yamnaya	55.05	10.53	1075	H1H2	fastq_samples	0.7131	3.3281	4.4732	-2	-2
VK64	Yamnaya	57.34	18.19	975	H1H1	fastq_samples	0.3003	3.2188	3.1197	1	0
NEO653	Early Farmer	43.4	-4.71	3423	H1H2	fastq_samples	0.6602	2.4011	3.5569	-2	-2
VK340	Yamnaya	55.95	10.2	1075	H1H1	fastq_samples	0.3695	1.9894	2.1498	0	0
NEO260	Hunter-Gatherer (W)	58.25	11.49	5825	H1H1	fastq_samples	0.1481	2.0105	2.0383	0	0
NEO602	Admixed	55.59	11.58	5134	H1H1	fastq_samples	1.0482	2.4443	2.72	-2	-2
VK225	Yamnaya	65.61	-17.16	750	H1H1	fastq_samples	0.3556	2.1033	2.1548	0	0
VK420	Yamnaya	60.8	11.1	950	H1H1	fastq_samples	0.2347	3.0922	3.1059	1	0
VK63	Yamnaya	57.34	18.19	975	H1H2	fastq_samples	0.6107	1.8166	3.0859	-2	-2
NEO194	Hunter-Gatherer (E)	56.78	40.45	5575	H1H1	fastq_samples	0.2548	2.0596	2.1338	0	0
NEO580	Admixed	55.11	10.11	4611	NA	fastq_samples	10.8751	8.5797	8.3869	-2	-2
VK484	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.2268	4.0202	4.0669	2	0
VK240	Admixed	61.85	-6.8	250	H1H1	fastq_samples	0.3336	2.1251	2.1426	0	0
NEO816	Early Farmer	33.76	47.1	8700	H1H1	fastq_samples	0.4478	2.9613	3.5789	1	0
RISE503	Yamnaya	53.46	85.45	3569	H1H1	fastq_samples	0.2699	2.1343	1.9607	0	0
NEO549	Admixed	48.2	35.22	10568	NA	fastq_samples	2.0587	3.3492	3.5463	-2	-2
VK128	Yamnaya	65.71	-23.75	900	H1H2	fastq_samples	0.2577	1.8527	3.0331	0	1
VK143	Yamnaya	51.76	-1.26	1010	H1H1	fastq_samples	0.2423	2.9944	2.9883	1	0
NEO81	Admixed	55.73	74.29	3300	H1H1	fastq_samples	1.0872	2.7989	2.429	-2	-2
VK294	Yamnaya	55.56	11.25	1075	H1H2	fastq_samples	0.2761	2.097	3.0891	0	1
VK444	Yamnaya	56.42	16.43	1102	H2H2	fastq_samples	0.3297	2.0938	4.015	0	2
NEO828	Admixed	40.42	15.07	4746	H1H2	fastq_samples	0.775	2.1738	2.932	-2	-2
VK391	Yamnaya	59.22	9.59	1350	H1H1	fastq_samples	0.4485	2.1914	2.2274	0	0
NEO898	Hunter-Gatherer (E)	55.74	11.43	5080	H1H1	fastq_samples	0.4016	2.2749	2.5182	-1	-1
NEO815	Admixed	55.06	14.89	3471	H1H2	fastq_samples	0.7119	3.5229	4.0448	-2	-2
VK456	Yamnaya	57.34	18.19	975	H1H1	fastq_samples	0.2451	2.9445	3.0183	1	0
NEO193	Hunter-Gatherer (E)	56.78	40.45	5453	H1H1	fastq_samples	0.6196	1.8381	2.2371	-2	-2
NEO142	Early Farmer	46.37	20.42	6641	H1H2	fastq_samples	0.3305	1.8368	2.9586	0	1
RISE510	Yamnaya	54.36	90.92	4609.5	H1H2	fastq_samples	0.4974	2.937	3.9706	-2	-2
VK123	Yamnaya	65.61	-17.16	750	H1H1	fastq_samples	0.2907	2.1349	2.0481	0	0
NEO896	Early Farmer	54.97	12.49	5446	H1H1	fastq_samples	0.7536	2.5566	2.5249	-2	-2
VK469	Yamnaya	57.63	18.28	975	H1H1	fastq_samples	0.5506	2.6892	3.1818	-2	-2
VK227	Yamnaya	65.61	-17.16	750	H1H1	fastq_samples	0.385	2.1083	2.2361	0	0
NEO265	Admixed	47.45	35.24	5538	H1H1	fastq_samples	0.9554	2.3208	2.6906	-2	-2
NEO900	Asia	52.43	76.84	3802	H1H1	fastq_samples	0.6193	2.0491	2.2389	-2	-2
VK528	Yamnaya	69.65	18.16	1050	H1H2	fastq_samples	0.2345	2.9877	4.0512	1	1
NEO560	Hunter-Gatherer (E)	60.41	38.93	7919	H1H1	fastq_samples	0.4552	2.7082	2.8135	1	0
VK343	Yamnaya	56.55	16.62	900	H1H1	fastq_samples	0.2173	1.9813	2.0872	0	0
VK387	Yamnaya	60.31	10.43	850	H1H1	fastq_samples	0.2488	2.0643	2.2185	0	0
NEO61	Admixed	68.97	33.08	3305	NA	fastq_samples	25.3447	7.2934	8.4932	-2	-2
VK39	Yamnaya	58.38	13.65	800	H1H1	fastq_samples	0.7211	2.2759	2.1892	-2	-2
NEO73	Asia	56.02	69.31	7681	H1H1	fastq_samples	0.2754	1.9576	1.9364	0	0
NEO121	Early Farmer	44.47	4.77	4531	H1H1	fastq_samples	0.3711	2.0735	2.0266	0	0
NEO822	Admixed	55.77	11.39	6978	H1H1	fastq_samples	1.2314	3.2772	3.3011	-2	-2
NEO143	Admixed	46.37	20.42	6658	NA	fastq_samples	1.2469	2.9682	2.3179	-2	-2
VK445	Yamnaya	55.62	11.97	900	H1H1	fastq_samples	0.2287	2.0008	2.1138	0	0
VK45	Admixed	61.85	-6.8	250	H1H1	fastq_samples	0.6899	2.9461	2.8391	-2	-2
RISE494	Yamnaya	53.15	91.05	3292	H1H1	fastq_samples	0.4318	3.2654	2.9529	1	0
VK99	Yamnaya	65.61	-17.16	750	H1H1	fastq_samples	0.3157	2.1798	2.0885	0	0
VK92	Yamnaya	55.6	11.95	1075	H1H1	fastq_samples	0.4858	3.137	3.3139	1	0
NEO870	Yamnaya	55.9	9.99	4240	H1H1	fastq_samples	0.4199	2.0939	2.3039	0	0
VK476	Yamnaya	57.63	18.28	975	H1H1	fastq_samples	0.8171	3.4321	3.2849	-2	-2
VK291	Yamnaya	54.8	10.69	1000	H1H1	fastq_samples	0.2949	3.1367	2.9026	1	0
NEO67	Asia	52.18	85.97	7058	H1H1	fastq_samples	0.445	2.081	2.2476	0	0
NEO538	Asia	59.7	39.5	2253	H1H1	fastq_samples	0.2221	1.8513	1.9407	0	0
RISE407	Early Farmer	40.15	45.86	2955	H1H1	fastq_samples	0.5239	3.8947	4.0184	-2	-2
NEO721	Early Farmer	40.44	-3.5	4170	H1H1	fastq_samples	0.3212	2.1711	2.2141	0	0
VK491	Yamnaya	58.17	22.25	1100	H1H2	fastq_samples	0.2132	1.9318	2.9262	0	1
NEO174	Hunter-Gatherer (E)	52.28	38.96	5306	H1H1	fastq_samples	0.2961	1.9683	2.0468	0	0
VK405	Yamnaya	58.38	13.65	800	H1H1	fastq_samples	0.2499	2.0753	2.0971	0	0
NEO933	Early Farmer	55.25	10.75	5337	H1H2	fastq_samples	0.3888	2.264	3.1988	0	1
VK327	Yamnaya	55.33	8.76	945	H1H1	fastq_samples	0.2373	3.9265	4.0335	2	0
VK345	Early Farmer	56.73	16.72	900	H1H2	fastq_samples	0.2375	2.0263	3.0454	0	1
VK372	Yamnaya	55.5	10.33	900	H1H2	fastq_samples	0.2597	2.0216	2.9639	0	1
VK280	Yamnaya	55.5	10.33	900	H1H1	fastq_samples	0.5215	2.1917	2.0054	-2	-2
VK279	Yamnaya	55.5	10.33	900	H1H1	fastq_samples	0.2142	2.1014	2.1191	0	0
VK234	Admixed	61.85	-6.8	250	H1H1	fastq_samples	0.3145	3.0823	2.8467	1	0
NEO861	Yamnaya	55.58	12.28	4102	H1H1	fastq_samples	0.5008	2.1701	2.3781	-2	-2
NEO899	Asia	52.63	76.73	3641	H1H1	fastq_samples	0.8205	2.3882	2.4295	-2	-2
NEO185	Hunter-Gatherer (E)	56.78	40.45	7034	H1H1	fastq_samples	0.2616	1.9842	2.023	0	0
VK284	Yamnaya	55.65	12.14	900	H1H1	fastq_samples	0.273	2.058	2.1451	0	0
VK138	Yamnaya	55.5	10.33	900	H1H2	fastq_samples	0.4725	3.4528	4.2899	1	1
VK184	Yamnaya	61.18	-45.68	800	H1H2	fastq_samples	0.2863	1.9355	3.0179	0	1
VK297	Yamnaya	55.15	11.87	1200	H1H2	fastq_samples	0.3579	3.172	3.9104	1	1
VK224	Yamnaya	54.78	31.87	850	H1H1	fastq_samples	0.5156	2.6419	2.7974	-2	-2
VK457	Yamnaya	57.34	18.19	975	H1H1	fastq_samples	0.5446	2.3744	2.1895	-2	-2
RISE154	Yamnaya	50.95	16.94	3795	H1H1	fastq_samples	0.7108	2.2588	2.1789	-2	-2
VK69	Yamnaya	55.87	12.08	1200	H1H1	fastq_samples	0.2757	3.062	2.9971	1	0
NEO507	Hunter-Gatherer (E)	48.13	35.08	6885	H1H1	fastq_samples	0.4667	2.516	2.0865	-1	-1
VK369	Yamnaya	55.56	11.25	1075	H1H2	fastq_samples	0.2711	2.0765	3.0533	0	1
VK492	Yamnaya	58.17	22.25	1100	H1H2	fastq_samples	0.2487	3.1809	3.9929	1	1
RISE569	Yamnaya	50.19	14.16	1235	H1H1	fastq_samples	0.2147	2.018	2.0325	0	0
NEO184	Hunter-Gatherer (E)	56.78	40.44	5458	H1H2	fastq_samples	0.3645	2.084	2.8596	0	1
Koszyce-3_12_final	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NA	bam_samples	0.6443	2.0649	2.2005	0	0
R121	Early Farmer	41.76	12.29	1450	H1H1	bam_samples	0.7318	0.116	0.1046	-2	-2
R1551	Early Farmer	42.07	12.59	1817	H1H1	bam_samples	0.711	0.0673	0.0368	-2	-2
R1287	Early Farmer	41.9	12.47	521	H1H1	bam_samples	0.6946	0.2963	0.1612	-2	-2
LBK	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NA	bam_samples	0.5771	2.3889	2.3474	0	0
R39	Early Farmer	41.75	12.26	1851	H1H1	bam_samples	0.6795	0.2095	0.1251	-2	-2
DA124	Asia	43.37	77.44	1278.5	H1H1	bam_samples	0.8131	3.3673	3.6661	-2	-2
NEO232	Asia	53	103.7	4802.5	H1H1	bam_samples	0.6808	2.2096	2.2488	0	0
Ksiaznice_gr-3ZC_ind-7_final	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NA	bam_samples	0.8604	2.0573	2.1355	-2	-2
SN-44	Americas	33.26	-119.54	5336.5	H1H1	bam_samples	0.663	1.9999	2.052	0	0
Vt779	Admixed	19.79	105.85	2246.5	H1H1	bam_samples	0.9438	2.2499	2.2727	-2	-2
kos18octBlue	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NA	bam_samples	0.6578	1.9738	2.0821	0	0
NEO36	Early Farmer	55.57	13.04	5097	H1H2	bam_samples	0.7058	2.0424	3.2928	0	1
DA224	Yamnaya	42.83	68.33	1681.5	H1H1	bam_samples	0.7007	2.0589	2.0747	0	0
R1	Early Farmer	42.88	13.89	2834.5	NA	bam_samples	0.6556	0.0011	0.0012	-2	-2
mid001	Early Farmer	59.13	-3.05	5450	H1H1	bam_samples	0.7744	2.3991	2.3628	0	0
poz44	Yamnaya	52.29	17.55	4675	H1H2	bam_samples	1.3211	2.9152	3.2016	-2	-2
NEO792	Yamnaya	54.87	12.12	4493	H1H1	bam_samples	0.8576	2.3725	2.4383	-2	-2
R57	Early Farmer	41.69	13.09	840	H1H1	bam_samples	0.6912	0.2245	0.1333	-2	-2
R35	Early Farmer	41.89	12.49	1450	H1H1	bam_samples	0.7286	0.0688	0.0466	-2	-2
DA58	Asia	41.5	75.8	2077.5	H1H2	bam_samples	0.6932	2.1219	3.0486	0	1
Ajv58	Hunter-Gatherer (E)	57.5	18.55	4700	H1H2	bam_samples	0.5761	2.1284	3.122	0	1
GTE-A-1	Yamnaya	65.37	-14.3 	1015	H1H1	bam_samples	2.0968	2.4671	3.9401	-2	-2
kzb003	Yamnaya	53.94	55.75	3650	H1H1	bam_samples	1.2912	2.0261	3.0389	-2	-2
ValeOuro10207	Early Farmer	38.06	-8.11	3550	NA	bam_samples	0.8571	3.4241	3.6201	-2	-2
MA2484-merged	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NA	bam_samples	0.7156	2.0675	2.1439	0	0
NEO733	Hunter-Gatherer (W)	55.77	11.39	6824	H1H1	bam_samples	0.6983	2.2188	2.4451	0	0
X3	Asia	43.61	93.17	2250	H1H1	bam_samples	1.0904	2.4486	2.5718	-2	-2
MJ-34	Yamnaya	49.86	35.28	2241.5	H1H1	bam_samples	0.7365	2.3721	2.3252	0	0
DA201	Asia	43.22	77.85	2079.5	H1H2	bam_samples	0.8199	2.1239	2.4849	-2	-2
CRE20D	Early Farmer	43.21	3.13	6151	H1H1	bam_samples	0.8944	2.5988	2.5264	-2	-2
R137	Early Farmer	41.89	12.5	1550	H1H1	bam_samples	0.6868	0.2098	0.128	-2	-2
NEO559	Hunter-Gatherer (E)	60.41	38.93	8268	H1H1	bam_samples	0.69	2.2962	2.3856	0	0
kzb008	Yamnaya	53.94	55.75	3742	H1H1	bam_samples	0.613	3.1409	3.0991	1	0
DA248	Asia	51.7	103.7	7645	H1H1	bam_samples	0.6497	2.0531	2.1022	0	0
VK220	Yamnaya	60	32.3	800	H1H1	bam_samples	0.6562	3.0997	3.1791	1	0
Aconcagua	Americas	-32.65	-70.01	500	H1H1	bam_samples	0.6934	2.1987	2.1416	0	0
R60	Early Farmer	41.69	13.09	1045	H1H1	bam_samples	0.6659	0.1936	0.0999	-2	-2
R32	Early Farmer	41.91	12.47	1450	H1H1	bam_samples	0.7311	0.09	0.039	-2	-2
CabecoArruda122A	Early Farmer	39.11	-8.66	5050	NA	bam_samples	0.6637	2.1125	2.1044	0	0
IK002	Asia	34.65	137.14	2569	H1H1	bam_samples	0.6772	2.0461	2.098	0	0
I9028	Admixed	-32.76	18.03	2103	H1H1	bam_samples	0.2829	2.099	2.2305	0	0
PER3123	Admixed	45.77	0.33	9067	H1H1	bam_samples	1.2474	2.2586	2.618	-2	-2
Ajv70	Hunter-Gatherer (E)	57.5	18.55	4700	H1H1	bam_samples	0.9211	2.7141	2.6725	-2	-2
DA2	Yamnaya	54.68	90.85	2816.5	H1H2	bam_samples	0.6823	2.1058	2.0414	0	0
NEO847	Early Farmer	51.7	-2.3	5463	H1H1	bam_samples	0.688	2.4369	2.5143	-1	-1
DA80	Asia	41.5	75.79	1673	H1H2	bam_samples	0.7138	2.0278	3.2561	0	1
SM-01	Americas	34.03	-120.38	611	H1H1	bam_samples	1.0068	2.4752	2.4532	-2	-2
Schw432	Early Farmer	48.76	7.6	7100	H1H2	bam_samples	1.1222	1.7836	3.8653	-2	-2
LD270	Early Farmer	41.71	-6.93	6336	H1H2	bam_samples	0.6537	1.8168	2.8713	0	1
ble008	Hunter-Gatherer (E)	58.16	11.49	9825	H1H1	bam_samples	0.7292	2.3382	2.1462	0	0
MJ-44	Yamnaya	53.86	55.45	2216.5	H1H1	bam_samples	0.7104	2.0514	2.0849	0	0
PER1150503	Hunter-Gatherer (W)	45.77	0.33	9067	H1H1	bam_samples	0.8937	2.3627	2.2212	-2	-2
NEO683	Hunter-Gatherer (W)	55.4	9.83	7529	H1H1	bam_samples	0.6892	2.3124	2.6036	-1	-1
R59	Early Farmer	41.69	13.09	1045	H1H1	bam_samples	0.6748	0.183	0.1016	-2	-2
Ma912	Asia	5.02	101.77	2519.5	H1H1	bam_samples	0.6787	2.045	2.2266	0	0
R109	Early Farmer	41.89	12.48	1450	H1H1	bam_samples	0.759	0.154	0.0976	-2	-2
prs003	Early Farmer	54.25	-8.56	5600	H1H2	bam_samples	1.4102	2.7075	3.7658	-2	-2
DA43	Asia	42.53	105.18	2095	H1H1	bam_samples	0.6778	1.9635	2.0502	0	0
RISE1168	Admixed	48.7	21.2	4676	H1H1	bam_samples	0.5334	2.1362	2.1486	0	0
ans017	Early Farmer	57.34	18.26	5080	H1H1	bam_samples	0.5488	2.0387	2.0317	0	0
DA340	Admixed	52.29	104.25	6989.5	H1H1	bam_samples	0.7278	1.951	2.2102	0	0
DA383	Early Farmer	38.72	61.69	5150	H1H2	bam_samples	0.7215	2.1291	3.3676	0	1
PL_N20	Early Farmer	52.62	18.96	5462	H1H2	bam_samples	0.7101	2.0475	3.0747	0	1
NEO749	Hunter-Gatherer (W)	55.85	12.56	7070	H1H1	bam_samples	0.659	2.2332	2.2177	0	0
COL153A	Early Farmer	48.08	7.36	2290	H1H1	bam_samples	1.1944	2.9623	2.4715	-2	-2
R38	Early Farmer	41.75	12.26	1749.5	H1H1	bam_samples	0.6984	0.1675	0.1116	-2	-2
NEO231	Asia	53	103.7	4703	H1H1	bam_samples	0.7483	2.2277	2.285	0	0
ela	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NA	bam_samples	0.5401	2.0702	2.0396	0	0
ERS3189351	Early Farmer	33.56	35.4	800	H1H1	bam_samples	0.8061	3.5637	3.3833	-2	-2
R970	Early Farmer	41.96	12.75	300	H1H1	bam_samples	0.7441	0.097	0.0575	-2	-2
R3	Early Farmer	41.96	13.54	7729.5	H1H1	bam_samples	0.6539	0.1478	0.1017	-2	-2
DA38	Asia	49.27	101.72	2124.5	H1H1	bam_samples	0.6533	2.0023	2.0286	0	0
prs010	Early Farmer	54.25	-8.56	5530	H1H1	bam_samples	1.2588	2.0323	2.2616	-2	-2
R5	Early Farmer	41.96	13.54	4839.5	NA	bam_samples	0.6933	0.0	0.0023	-2	-2
R1286	Yamnaya	41.9	12.47	521	H1H1	bam_samples	0.6951	0.0729	0.0847	-2	-2
PSS4693	Early Farmer	48.52	3.6	5438.5	H1H2	bam_samples	0.7376	2.2129	3.1159	0	1
FN2	Early Farmer	48.14	11.4	1650	H1H1	bam_samples	0.6529	3.1077	3.0787	1	0
SN-11	Americas	33.26	-119.54	1100	H1H1	bam_samples	0.6667	2.0189	2.1083	0	0
